jyocd+level1,04_B2,666
jyocd+level1,05_A1,4974
jyocd+level1,05_A2,5557
jyocd+level1,05_B1,10088
jyocd+level1,05_B2,725
jyocd+level1,06_A1,6226
jyocd+level1,06_A2,6565
jyocd+level1,06_B1,9538
jyocd+level1,06_B2,562
jyocd+level1,07_A1,5970
jyocd+level1,07_A2,6244
jyocd+level1,07_B1,8750
jyocd+level1,07_B2,570
jyocd+level1,08_A1,6724
jyocd+level1,08_A2,6790
jyocd+level1,08_B1,9036
jyocd+level1,08_B2,543
jyocd+level1,09_A1,6184
jyocd+level1,09_A2,6258
jyocd+level1,09_B1,8846
jyocd+level1,09_B2,491
jyocd+level1,10_A1,6086
jyocd+level1,10_A2,6552
jyocd+level1,10_B1,8355
jyocd+level1,10_B2,449
jyocd+level1,11_A1,5493
jyocd+level1,11_A2,5587
jyocd+level1,11_B1,7875
jyocd+level1,11_B2,463
jyocd+level1,12_A1,5886
jyocd+level1,12_A2,5587
jyocd+level1,12_B1,8130
jyocd+level1,12_B2,572
jyocd+level1,13_A1,6292
jyocd+level1,13_A2,5738
jyocd+level1,13_B1,8510
jyocd+level1,13_B2,493
jyocd+level1,14_A1,4372
jyocd+level1,14_A2,5070
jyocd+level1,14_B1,6873
jyocd+level1,14_B2,381
jyocd+level1,15_A1,6738
jyocd+level1,15_A2,6542
jyocd+level1,15_B1,8218
jyocd+level1,15_B2,473
jyocd+level1,16_A1,6504
jyocd+level1,16_A2,6336
jyocd+level1,16_B1,8624
jyocd+level1,16_B2,477
jyocd+level1,17_A1,6055
jyocd+level1,17_A2,6154
jyocd+level1,17_B1,7979
jyocd+level1,17_B2,513
jyocd+level1,18_A1,7388
jyocd+level1,18_A2,6037
jyocd+level1,18_B1,7203
jyocd+level1,18_B2,380
jyocd+level1,19_A1,6340
jyocd+level1,19_A2,6809
jyocd+level1,19_B1,7326
jyocd+level1,19_B2,412
jyocd+level1,20_A1,6785
jyocd+level1,20_A2,6942
jyocd+level1,20_B1,8018
jyocd+level1,20_B2,464
jyocd+level1,21_A1,8474
jyocd+level1,21_A2,8214
jyocd+level1,21_B1,5101
jyocd+level1,21_B2,160
jyocd+level1,22_A1,5917
jyocd+level1,22_A2,5689
jyocd+level1,22_B1,9683
jyocd+level1,22_B2,564
jyocd+level1,23_A1,6366
jyocd+level1,23_A2,6441
jyocd+level1,23_B1,8269
jyocd+level1,23_B2,505
jyocd+level1,24_A1,7715
jyocd+level1,24_A2,6577
jyocd+level1,24_B1,6577
jyocd+level1,24_B2,283
jyocd+level12,01_A1-A1,1918
jyocd+level12,01_A1-A2,1485
jyocd+level12,01_A1-B1,2572
jyocd+level12,01_A1-B2,191
jyocd+level12,01_A2-A1,1474
jyocd+level12,01_A2-A2,1342
jyocd+level12,01_A2-B1,3040
jyocd+level12,01_A2-B2,158
jyocd+level12,01_B1-A1,1259
jyocd+level12,01_B1-A2,2637
jyocd+level12,01_B1-B1,4616
jyocd+level12,01_B1-B2,345
jyocd+level12,01_B2-A1,58
jyocd+level12,01_B2-A2,137
jyocd+level12,01_B2-B1,358
jyocd+level12,01_B2-B2,24
jyocd+level12,02_A1-A1,1263
jyocd+level12,02_A1-A2,1150
jyocd+level12,02_A1-B1,2541
jyocd+level12,02_A1-B2,145
jyocd+level12,02_A2-A1,1378
jyocd+level12,02_A2-A2,1506
jyocd+level12,02_A2-B1,2687
jyocd+level12,02_A2-B2,118
jyocd+level12,02_B1-A1,1787
jyocd+level12,02_B1-A2,2669
jyocd+level12,02_B1-B1,5337
jyocd+level12,02_B1-B2,405
jyocd+level12,02_B2-A1,77
jyocd+level12,02_B2-A2,110
jyocd+level12,02_B2-B1,405
jyocd+level12,02_B2-B2,43
jyocd+level12,03_A1-A1,833
jyocd+level12,03_A1-A2,1171
jyocd+level12,03_A1-B1,1481
jyocd+level12,03_A1-B2,69
jyocd+level12,03_A2-A1,927
jyocd+level12,03_A2-A2,997
jyocd+level12,03_A2-B1,2597
jyocd+level12,03_A2-B2,154
jyocd+level12,03_B1-A1,1353
jyocd+level12,03_B1-A2,2404
jyocd+level12,03_B1-B1,5466
jyocd+level12,03_B1-B2,499
jyocd+level12,03_B2-A1,87
jyocd+level12,03_B2-A2,109
jyocd+level12,03_B2-B1,518
jyocd+level12,03_B2-B2,41
jyocd+level12,04_A1-A1,1235
jyocd+level12,04_A1-A2,1456
jyocd+level12,04_A1-B1,2232
jyocd+level12,04_A1-B2,104
jyocd+level12,04_A2-A1,1244
jyocd+level12,04_A2-A2,1333
jyocd+level12,04_A2-B1,2531
jyocd+level12,04_A2-B2,136
jyocd+level12,04_B1-A1,1765
jyocd+level12,04_B1-A2,2573
jyocd+level12,04_B1-B1,5267
jyocd+level12,04_B1-B2,400
jyocd+level12,04_B2-A1,90
jyocd+level12,04_B2-A2,143
jyocd+level12,04_B2-B1,388
jyocd+level12,04_B2-B2,45
jyocd+level12,05_A1-A1,1196
jyocd+level12,05_A1-A2,1360
jyocd+level12,05_A1-B1,2263
jyocd+level12,05_A1-B2,155
jyocd+level12,05_A2-A1,1185
jyocd+level12,05_A2-A2,1092
jyocd+level12,05_A2-B1,3105
jyocd+level12,05_A2-B2,175
jyocd+level12,05_B1-A1,1964
jyocd+level12,05_B1-A2,3027
jyocd+level12,05_B1-B1,4712
jyocd+level12,05_B1-B2,385
jyocd+level12,05_B2-A1,79
jyocd+level12,05_B2-A2,157
jyocd+level12,05_B2-B1,436
jyocd+level12,05_B2-B2,53
jyocd+level12,06_A1-A1,1228
jyocd+level12,06_A1-A2,1584
jyocd+level12,06_A1-B1,3265
jyocd+level12,06_A1-B2,149
jyocd+level12,06_A2-A1,1538
jyocd+level12,06_A2-A2,1092
jyocd+level12,06_A2-B1,3719
jyocd+level12,06_A2-B2,216
jyocd+level12,06_B1-A1,2113
jyocd+level12,06_B1-A2,2975
jyocd+level12,06_B1-B1,4116
jyocd+level12,06_B1-B2,334
jyocd+level12,06_B2-A1,97
jyocd+level12,06_B2-A2,155
jyocd+level12,06_B2-B1,282
jyocd+level12,06_B2-B2,28
jyocd+level12,07_A1-A1,1469
jyocd+level12,07_A1-A2,2171
jyocd+level12,07_A1-B1,2256
jyocd+level12,07_A1-B2,74
jyocd+level12,07_A2-A1,1336
jyocd+level12,07_A2-A2,1112
jyocd+level12,07_A2-B1,3594
jyocd+level12,07_A2-B2,202
jyocd+level12,07_B1-A1,1466
jyocd+level12,07_B1-A2,2128
jyocd+level12,07_B1-B1,4737
jyocd+level12,07_B1-B2,419
jyocd+level12,07_B2-A1,84
jyocd+level12,07_B2-A2,103
jyocd+level12,07_B2-B1,345
jyocd+level12,07_B2-B2,38
jyocd+level12,08_A1-A1,1606
jyocd+level12,08_A1-A2,2668
jyocd+level12,08_A1-B1,2366
jyocd+level12,08_A1-B2,84
jyocd+level12,08_A2-A1,1140
jyocd+level12,08_A2-A2,1061
jyocd+level12,08_A2-B1,4339
jyocd+level12,08_A2-B2,250
jyocd+level12,08_B1-A1,1467
jyocd+level12,08_B1-A2,2579
jyocd+level12,08_B1-B1,4554
jyocd+level12,08_B1-B2,436
jyocd+level12,08_B2-A1,85
jyocd+level12,08_B2-A2,145
jyocd+level12,08_B2-B1,289
jyocd+level12,08_B2-B2,24
jyocd+level12,09_A1-A1,1333
jyocd+level12,09_A1-A2,1489
jyocd+level12,09_A1-B1,3247
jyocd+level12,09_A1-B2,115
jyocd+level12,09_A2-A1,1688
jyocd+level12,09_A2-A2,1371
jyocd+level12,09_A2-B1,3063
jyocd+level12,09_A2-B2,136
jyocd+level12,09_B1-A1,2010
jyocd+level12,09_B1-A2,2675
jyocd+level12,09_B1-B1,3854
jyocd+level12,09_B1-B2,307
jyocd+level12,09_B2-A1,110
jyocd+level12,09_B2-A2,134
jyocd+level12,09_B2-B1,227
jyocd+level12,09_B2-B2,20
jyocd+level12,10_A1-A1,1521
jyocd+level12,10_A1-A2,1732
jyocd+level12,10_A1-B1,2696
jyocd+level12,10_A1-B2,137
jyocd+level12,10_A2-A1,1773
jyocd+level12,10_A2-A2,1020
jyocd+level12,10_A2-B1,3575
jyocd+level12,10_A2-B2,184
jyocd+level12,10_B1-A1,1613
jyocd+level12,10_B1-A2,2921
jyocd+level12,10_B1-B1,3549
jyocd+level12,10_B1-B2,272
jyocd+level12,10_B2-A1,84
jyocd+level12,10_B2-A2,127
jyocd+level12,10_B2-B1,232
jyocd+level12,10_B2-B2,6
jyocd+level12,11_A1-A1,1400
jyocd+level12,11_A1-A2,2374
jyocd+level12,11_A1-B1,1630
jyocd+level12,11_A1-B2,89
jyocd+level12,11_A2-A1,914
jyocd+level12,11_A2-A2,975
jyocd+level12,11_A2-B1,3500
jyocd+level12,11_A2-B2,198
jyocd+level12,11_B1-A1,1852
jyocd+level12,11_B1-A2,1941
jyocd+level12,11_B1-B1,3816
jyocd+level12,11_B1-B2,266
jyocd+level12,11_B2-A1,104
jyocd+level12,11_B2-A2,93
jyocd+level12,11_B2-B1,252
jyocd+level12,11_B2-B2,14
jyocd+level12,12_A1-A1,1966
jyocd+level12,12_A1-A2,1793
jyocd+level12,12_A1-B1,2036
jyocd+level12,12_A1-B2,91
jyocd+level12,12_A2-A1,1344
jyocd+level12,12_A2-A2,1261
jyocd+level12,12_A2-B1,2811
jyocd+level12,12_A2-B2,171
jyocd+level12,12_B1-A1,1625
jyocd+level12,12_B1-A2,2065
jyocd+level12,12_B1-B1,4036
jyocd+level12,12_B1-B2,404
jyocd+level12,12_B2-A1,86
jyocd+level12,12_B2-A2,115
jyocd+level12,12_B2-B1,321
jyocd+level12,12_B2-B2,50
jyocd+level12,13_A1-A1,1556
jyocd+level12,13_A1-A2,2051
jyocd+level12,13_A1-B1,2580
jyocd+level12,13_A1-B2,105
jyocd+level12,13_A2-A1,1392
jyocd+level12,13_A2-A2,1160
jyocd+level12,13_A2-B1,3036
jyocd+level12,13_A2-B2,150
jyocd+level12,13_B1-A1,1735
jyocd+level12,13_B1-A2,1905
jyocd+level12,13_B1-B1,4530
jyocd+level12,13_B1-B2,340
jyocd+level12,13_B2-A1,55
jyocd+level12,13_B2-A2,95
jyocd+level12,13_B2-B1,313
jyocd+level12,13_B2-B2,30
jyocd+level12,14_A1-A1,1014
jyocd+level12,14_A1-A2,1157
