ymd	sime	jyocd	raceno	description	pattern	bettype	predict_rank123	result_rank123	bet_kumiban	bet_odds	bet_oddsrank	result_kumiban	result_odds	result_oddsrank	result_amt	hity	hitn	betamt	hitamt
20181209	1518	12	1	0013	1_B1	1T	122	235	1	0.00	0	2	2.79	0	280	0	1	100	0
20181209	1543	12	2	0013	1_B1	1T	152	165	1	0.00	0	1	1.89	0	190	1	0	100	190
20181209	1608	12	3	0013	1_B1	1T	146	146	1	0.00	0	1	2.59	0	260	1	0	100	260
20181209	1150	03	3	0013	1_B1	1T	134	135	1	0.00	0	1	1.60	0	160	1	0	100	160
20181210	1139	14	6	0013	1_B1	1T	123	136	1	0.00	0	1	1.20	0	120	1	0	100	120
20181210	1307	14	9	0013	1_B1	1T	135	531	1	0.00	0	5	23.20	0	2320	0	1	100	0
20181210	1335	14	10	0013	1_B1	1T	153	453	1	0.00	0	4	5.00	0	500	0	1	100	0
20181211	1103	17	2	0013	1_B1	1T	126	132	1	0.00	0	1	1.20	0	120	1	0	100	120
20181213	1100	02	1	0013	1_B1	1T	133	231	1	0.00	0	2	4.59	0	460	0	1	100	0
20181212	1035	06	1	0013	1_B1	1T	124	314	1	0.00	0	3	6.19	0	620	0	1	100	0
20181212	1257	06	6	0013	1_B1	1T	123	215	1	0.00	0	2	2.29	0	230	0	1	100	0
20181212	1430	06	9	0013	1_B1	1T	134	213	1	0.00	0	2	4.80	0	480	0	1	100	0
20181212	1545	15	2	0013	1_B1	1T	112	125	1	0.00	0	1	1.00	0	100	1	0	100	100
20181212	1613	15	3	0013	1_B1	1T	133	216	1	0.00	0	2	5.40	0	540	0	1	100	0
20181212	1908	15	9	0013	1_B1	1T	126	215	1	0.00	0	2	2.50	0	250	0	1	100	0
20181211	1200	17	4	0013	1_B1	1T	136	365	1	0.00	0	3	1.60	0	160	0	1	100	0
20181211	1301	17	6	0013	1_B1	1T	124	416	1	0.00	0	4	1.70	0	170	0	1	100	0
20181211	1332	17	7	0013	1_B1	1T	144	143	1	0.00	0	1	1.20	0	120	1	0	100	120
20181211	1540	19	2	0013	1_B1	1T	122	163	1	0.00	0	1	1.50	0	150	1	0	100	150
20181211	1603	19	3	0013	1_B1	1T	125	125	1	0.00	0	1	1.20	0	120	1	0	100	120
20181211	1630	19	4	0013	1_B1	1T	166	162	1	0.00	0	1	1.29	0	130	1	0	100	130
20181211	1725	19	6	0013	1_B1	1T	122	321	1	0.00	0	3	8.00	0	800	0	1	100	0
20181214	1034	13	1	0013	1_B1	1T	142	145	1	0.00	0	1	1.10	0	110	1	0	100	110
20181214	1100	13	2	0013	1_B1	1T	153	124	1	0.00	0	1	1.79	0	180	1	0	100	180
20181214	1154	13	4	0013	1_B1	1T	133	132	1	0.00	0	1	2.09	0	210	1	0	100	210
20181215	1101	03	1	0013	1_B1	1T	133	125	1	0.00	0	1	1.39	0	140	1	0	100	140
20181215	1114	22	2	0013	1_B1	1T	126	124	1	0.00	0	1	2.09	0	210	1	0	100	210
20181215	1140	08	3	0013	1_B1	1T	166	632	1	0.00	0	6	2.70	0	270	0	1	100	0
20181215	1155	03	3	0013	1_B1	1T	152	512	1	0.00	0	5	10.50	0	1050	0	1	100	0
20181215	1209	22	4	0013	1_B1	1T	135	135	1	0.00	0	1	1.89	0	190	1	0	100	190
20181215	1237	22	5	0013	1_B1	1T	112	123	1	0.00	0	1	1.39	0	140	1	0	100	140
20181215	1307	22	6	0013	1_B1	1T	125	425	1	0.00	0	4	9.69	0	970	0	1	100	0
20181215	1440	22	9	0013	1_B1	1T	122	413	1	0.00	0	4	6.59	0	660	0	1	100	0
20181215	1702	07	5	0013	1_B1	1T	114	546	1	0.00	0	5	5.50	0	550	0	1	100	0
20181213	1122	18	6	0013	1_B1	1T	121	652	1	0.00	0	6	5.80	0	580	0	1	100	0
20181213	1152	18	7	0013	1_B1	1T	125	134	1	0.00	0	1	1.00	0	100	1	0	100	100
20181213	1224	18	8	0013	1_B1	1T	123	326	1	0.00	0	3	2.50	0	250	0	1	100	0
20181213	1330	18	10	0013	1_B1	1T	124	516	1	0.00	0	5	1.29	0	130	0	1	100	0
20181213	1353	10	8	0013	1_B1	1T	122	614	1	0.00	0	6	2.00	0	200	0	1	100	0
20181213	1516	20	1	0013	1_B1	1T	125	521	1	0.00	0	5	12.10	0	1210	0	1	100	0
20181213	1540	20	2	0013	1_B1	1T	143	134	1	0.00	0	1	2.40	0	240	1	0	100	240
20181213	1604	20	3	0013	1_B1	1T	115	156	1	0.00	0	1	5.69	0	570	1	0	100	570
20181213	1632	20	4	0013	1_B1	1T	132	326	1	0.00	0	3	1.50	0	150	0	1	100	0
20181218	1801	01	7	0013	1_B1	1T	115	254	1	0.00	0	2	2.40	0	240	0	1	100	0
20181216	1159	11	4	0013	1_B1	1T	145	125	1	0.00	0	1	1.39	0	140	1	0	100	140
20181216	1259	21	9	0013	1_B1	1T	122	213	1	0.00	0	2	2.00	0	200	0	1	100	0
20181216	1321	16	7	0013	1_B1	1T	122	324	1	0.00	0	3	11.69	0	1170	0	1	100	0
20181216	1400	11	8	0013	1_B1	1T	135	123	1	0.00	0	1	1.70	0	170	1	0	100	170
20181216	1432	11	9	0013	1_B1	1T	134	135	1	0.00	0	1	2.00	0	200	1	0	100	200
20181216	1555	24	2	0013	1_B1	1T	126	152	1	0.00	0	1	2.09	0	210	1	0	100	210
20181216	1625	24	3	0013	1_B1	1T	136	246	1	0.00	0	2	11.69	0	1170	0	1	100	0
20181216	1055	16	2	0013	1_B1	1T	145	135	1	0.00	0	1	1.10	0	110	1	0	100	110
