03	1215	1	12	64	27	7340	42.19	114.69	940	0.03
03	1215	1	13	64	11	7370	17.19	115.16	970	0.03
03	1215	2	23	63	9	14130	14.29	224.29	7830	0.02
03	1215	4	12	36	15	3630	41.67	100.83	30	0.01
03	1215	6	15	39	11	7370	28.21	188.97	3470	0.02
03	1215	7	13	42	8	4690	19.05	111.67	490	0.02
03	1215	8	12	29	15	4100	51.72	141.38	1200	0.01
03	1216	5	12	23	10	2770	43.48	120.43	470	0.01
03	1216	7	12	31	15	3750	48.39	120.97	650	0.01
03	1221	9	12	18	10	2020	55.56	112.22	220	0.01
03	1251	2	12	14	8	2340	57.14	167.14	940	0.01
03	1313	1	12	81	18	9520	22.22	117.53	1420	0.03
03	1313	1	15	81	8	9420	9.88	116.30	1320	0.03
03	1313	1	16	81	10	12830	12.35	158.40	4730	0.03
03	1313	2	34	122	11	13130	9.02	107.62	930	0.05
03	1313	3	23	86	8	13190	9.30	153.37	4590	0.03
03	1313	4	12	88	20	11210	22.73	127.39	2410	0.03
03	1313	5	23	92	9	10590	9.78	115.11	1390	0.04
03	1313	6	15	85	8	8710	9.41	102.47	210	0.03
03	1313	7	34	101	8	11430	7.92	113.17	1330	0.04
03	1313	9	12	51	13	7850	25.49	153.92	2750	0.02
03	1314	1	12	32	8	3250	25.00	101.56	50	0.01
03	1314	2	12	30	9	3710	30.00	123.67	710	0.01
03	1314	2	14	30	10	5210	33.33	173.67	2210	0.01
03	1314	6	13	20	8	2730	40.00	136.50	730	0.01
03	1315	2	13	51	17	5660	33.33	110.98	560	0.02
03	1315	4	13	57	21	6450	36.84	113.16	750	0.02
03	1315	4	14	57	8	6530	14.04	114.56	830	0.02
03	1315	6	12	35	10	5570	28.57	159.14	2070	0.01
03	1315	6	13	35	12	3700	34.29	105.71	200	0.01
03	1315	8	12	34	9	4920	26.47	144.71	1520	0.01
03	1315	10	13	20	8	2020	40.00	101.00	20	0.01
03	1316	4	13	27	11	3230	40.74	119.63	530	0.01
03	1316	5	12	27	8	3400	29.63	125.93	700	0.01
03	1412	1	12	21	8	2570	38.10	122.38	470	0.01
03	1412	2	12	28	9	2840	32.14	101.43	40	0.01
03	1414	3	12	140	35	16560	25.00	118.29	2560	0.05
03	1414	3	15	140	13	15940	9.29	113.86	1940	0.05
03	1414	4	14	128	38	12870	29.69	100.55	70	0.05
03	1414	4	16	128	10	14300	7.81	111.72	1500	0.05
03	1414	4	24	128	9	18750	7.03	146.48	5950	0.05
03	1414	5	16	132	13	17720	9.85	134.24	4520	0.05
03	1414	5	45	132	8	15100	6.06	114.39	1900	0.05
03	1414	5	46	132	9	16700	6.82	126.52	3500	0.05
03	1414	6	12	143	33	16140	23.08	112.87	1840	0.06
03	1414	6	24	143	13	16970	9.09	118.67	2670	0.06
03	1415	1	12	43	14	6150	32.56	143.02	1850	0.02
03	1415	6	14	24	10	2890	41.67	120.42	490	0.01
03	1441	1	14	29	9	3550	31.03	122.41	650	0.01
03	1441	2	14	32	10	3690	31.25	115.31	490	0.01
03	1515	2	14	46	10	7740	21.74	168.26	3140	0.02
03	1515	2	15	46	13	5160	28.26	112.17	560	0.02
03	1515	3	13	45	11	5280	24.44	117.33	780	0.02
03	1515	5	13	63	12	7390	19.05	117.30	1090	0.02
03	1515	6	12	59	13	7150	22.03	121.19	1250	0.02
03	1515	6	13	59	8	5940	13.56	100.68	40	0.02
03	1515	6	14	59	8	8350	13.56	141.53	2450	0.02
03	1515	8	12	44	11	5140	25.00	116.82	740	0.02
03	1515	8	13	44	8	7450	18.18	169.32	3050	0.02
03	1515	9	12	42	8	4310	19.05	102.62	110	0.02
03	1515	9	15	42	19	5490	45.24	130.71	1290	0.02
03	1515	10	15	24	10	2490	41.67	103.75	90	0.01
03	1551	3	15	26	8	3170	30.77	121.92	570	0.01
03	1551	4	15	33	9	4510	27.27	136.67	1210	0.01
03	1551	6	12	32	8	4110	25.00	128.44	910	0.01
03	1551	7	15	31	12	4620	38.71	149.03	1520	0.01
03	1551	10	15	18	8	2720	44.44	151.11	920	0.01
03	2112	10	12	12	8	1670	66.67	139.17	470	0.00
03	2121	2	24	44	10	7180	22.73	163.18	2780	0.02
03	2121	4	13	57	8	8010	14.04	140.53	2310	0.02
03	2121	6	24	68	12	7640	17.65	112.35	840	0.03
03	2121	6	26	68	8	10550	11.76	155.15	3750	0.03
03	2121	7	12	70	33	7840	47.14	112.00	840	0.03
03	2121	9	13	80	9	8550	11.25	106.88	550	0.03
03	2121	9	24	80	10	9830	12.50	122.88	1830	0.03
03	2121	10	23	46	11	8770	23.91	190.65	4170	0.02
03	2125	4	12	24	8	2430	33.33	101.25	30	0.01
03	2125	5	12	26	10	3030	38.46	116.54	430	0.01
03	2125	8	12	29	9	2980	31.03	102.76	80	0.01
03	2323	6	23	13	8	2290	61.54	176.15	990	0.01
03	2323	10	23	11	9	2000	81.82	181.82	900	0.00
03	2424	3	12	23	8	3340	34.78	145.22	1040	0.01
03	2424	9	24	21	10	3240	47.62	154.29	1140	0.01
03	3113	8	13	20	10	2730	50.00	136.50	730	0.01
03	3131	2	13	33	12	3710	36.36	112.42	410	0.01
03	3131	4	12	47	10	6480	21.28	137.87	1780	0.02
03	3131	4	23	47	10	8230	21.28	175.11	3530	0.02
03	3131	6	23	54	9	5580	16.67	103.33	180	0.02
03	3131	7	13	42	20	4860	47.62	115.71	660	0.02
03	3131	10	13	23	13	3200	56.52	139.13	900	0.01
03	4141	1	45	40	9	8120	22.50	203.00	4120	0.02
03	4141	2	12	43	8	4880	18.60	113.49	580	0.02
03	4141	4	34	48	8	5680	16.67	118.33	880	0.02
03	4141	6	13	51	8	5710	15.69	111.96	610	0.02
03	4141	6	24	51	12	7360	23.53	144.31	2260	0.02
03	4141	8	12	50	8	5710	16.00	114.20	710	0.02
03	4141	8	45	50	8	8050	16.00	161.00	3050	0.02
04	1212	1	15	109	9	14000	8.26	128.44	3100	0.04
04	1212	1	16	109	11	16730	10.09	153.49	5830	0.04
04	1212	2	12	103	45	10590	43.69	102.82	290	0.04
04	1212	2	26	103	9	25410	8.74	246.70	15110	0.04
04	1212	3	13	90	19	10560	21.11	117.33	1560	0.04
